Time;Px;Py;Pz;Vx;Vy;Vz;V;Ax;Ay;Az;A
0,006481815;-0,7437099;2,630955;0,2279389;0,999352;18,6228;499,3265;499,674632377074;-0,0999352;-11,67228;-49,93265;51,2788594018686
0,006517407;-0,7423031;2,631618;0,2456577;0,9993485;18,62239;499,3247;499,672848086915;-0,09993485;-11,67224;-49,93247;51,27867919744
0,006552961;-0,7408978;2,63228;0,2633579;0,9993449;18,62197;499,3229;499,671063868204;-0,0999345;-11,6722;-49,93229;51,2784950613963
0,006585539;-0,73961;2,632887;0,2795763;0,9993417;18,62159;499,3213;499,669433340202;-0,09993417;-11,67216;-49,93213;51,278330366466
0,006618978;-0,7382883;2,633509;0,2962234;0,9993383;18,6212;499,3196;499,667741535325;-0,09993383;-11,67212;-49,93196;51,2781580253405
0,006654941;-0,7368668;2,634179;0,314127;0,9993348;18,62078;499,3178;499,665926536548;-0,09993348;-11,67208;-49,93179;51,2779738892822
0,006688323;-0,7355473;2,634801;0,3307455;0,9993314;18,62039;499,3162;499,664234732116;-0,09993314;-11,67204;-49,93162;51,2778015481567
0,006723395;-0,7341611;2,635454;0,3482053;0,9993279;18,61999;499,3144;499,662481224123;-0,09993279;-11,672;-49,93144;51,2776213437427
0,006755254;-0,7329018;2,636047;0,3640654;0,9993247;18,61961;499,3128;499,660881549015;-0,09993247;-11,67196;-49,93128;51,2774570829846
0,006788738;-0,7315784;2,63667;0,3807344;0,9993213;18,61922;499,3112;499,659189674149;-0,09993213;-11,67192;-49,93112;51,27728845641
0,006824404;-0,7301686;2,637334;0,39849;0,9993178;18,6188;499,3094;499,657405315021;-0,09993178;-11,67188;-49,93094;51,2771043203663
0,006857191;-0,7288727;2,637945;0,4148118;0,9993145;18,61842;499,3077;499,655744292406;-0,09993146;-11,67184;-49,93077;51,276935910885
0,006966875;-0,7245374;2,639987;0,4694145;0,9993036;18,61714;499,3023;499,650237740237;-0,09993035;-11,67171;-49,93023;51,2763756393927
0,007006689;-0,7229638;2,640728;0,489234;0,9992996;18,61668;499,3003;499,648207634217;-0,09992996;-11,67167;-49,93003;51,2761681305622
0,007039148;-0,7216808;2,641332;0,5053928;0,9992963;18,6163;499,2986;499,646577180137;-0,09992964;-11,67163;-49,92987;51,2760034356464
